,0
P1,P0
AB,P0
EMS,P1
P2,P1
P3,P2
C,P2
P4,P3
D,P3
Z2,P4
Z3,P4
MS,EMS
E,EMS
Ca,C
Cp,C
Da,D
Dp,D
Ea,E
Ep,E
ABa,AB
ABp,AB
Caa,Ca
Cap,Ca
Cpa,Cp
Cpp,Cp
Daa,Da
Dap,Da
Dpa,Dp
Dpp,Dp
Eal,Ea
Ear,Ea
Epl,Ep
Epr,Ep
MSa,MS
MSp,MS
ABal,ABa
ABar,ABa
ABpl,ABp
ABpr,ABp
Caaa,Caa
Caap,Caa
Capa,Cap
Capp,Cap
Cpaa,Cpa
Cpap,Cpa
Cppa,Cpp
Cppp,Cpp
Daaa,Daa
Daap,Daa
Dapa,Dap
Dapp,Dap
Dpaa,Dpa
Dpap,Dpa
Dppa,Dpp
Dppp,Dpp
Eala,Eal
Ealp,Eal
Eara,Ear
Earp,Ear
Epla,Epl
Eplp,Epl
Epra,Epr
Eprp,Epr
MSaa,MSa
MSap,MSa
MSpa,MSp
MSpp,MSp
ABala,ABal
ABalp,ABal
ABara,ABar
ABarp,ABar
ABpla,ABpl
ABplp,ABpl
ABpra,ABpr
ABprp,ABpr
Caaaa,Caaa
Caaap,Caaa
Caapa,Caap
Caapp,Caap
Capaa,Capa
Capap,Capa
Cappa,Capp
Cappp,Capp
Cpaaa,Cpaa
Cpaap,Cpaa
Cpapa,Cpap
Cpapp,Cpap
Cppaa,Cppa
Cppap,Cppa
Cpppa,Cppp
Cpppp,Cppp
Daaaa,Daaa
Daaap,Daaa
Daapa,Daap
Daapp,Daap
Dapaa,Dapa
Dapap,Dapa
Dappa,Dapp
Dappp,Dapp
Dpaaa,Dpaa
Dpaap,Dpaa
Dpapa,Dpap
Dpapp,Dpap
Dppaa,Dppa
Dppap,Dppa
Dpppa,Dppp
Dpppp,Dppp
Ealaa,Eala
Ealap,Eala
Ealpa,Ealp
Ealpp,Ealp
Earaa,Eara
Earap,Eara
Earpa,Earp
Earpp,Earp
Eplaa,Epla
Eplap,Epla
Eplpa,Eplp
Eplpp,Eplp
Epraa,Epra
Eprap,Epra
Eprpa,Eprp
Eprpp,Eprp
MSaaa,MSaa
MSaap,MSaa
MSapa,MSap
MSapp,MSap
MSpaa,MSpa
MSpap,MSpa
MSppa,MSpp
MSppp,MSpp
ABalaa,ABala
ABalap,ABala
ABalpa,ABalp
ABalpp,ABalp
ABaraa,ABara
ABarap,ABara
ABarpa,ABarp
ABarpp,ABarp
ABplaa,ABpla
ABplap,ABpla
ABplpa,ABplp
ABplpp,ABplp
ABpraa,ABpra
ABprap,ABpra
ABprpa,ABprp
ABprpp,ABprp
Caaaaa,Caaaa
Caaaap,Caaaa
Caaapa,Caaap
Caaapp,Caaap
Caapaa,Caapa
Caapap,Caapa
Caappd,Caapp
Caappv,Caapp
Capaaa,Capaa
Capaap,Capaa
Capapa,Capap
Capapp,Capap
Cappaa,Cappa
Cappap,Cappa
Capppa,Cappp
Capppp,Cappp
Cpaaaa,Cpaaa
Cpaaap,Cpaaa
Cpaapa,Cpaap
Cpaapp,Cpaap
Cpapaa,Cpapa
Cpapap,Cpapa
Cpappd,Cpapp
Cpappv,Cpapp
Cppaaa,Cppaa
Cppaap,Cppaa
Cppapa,Cppap
Cppapp,Cppap
Cpppaa,Cpppa
Cpppap,Cpppa
Cppppa,Cpppp
Cppppp,Cpppp
Dappaa,Dappa
Dappap,Dappa
Dpppaa,Dpppa
Dpppap,Dpppa
Ealaad,Ealaa
Ealaav,Ealaa
MSaaaa,MSaaa
MSaaap,MSaaa
MSaapa,MSaap
MSaapp,MSaap
MSapaa,MSapa
MSapap,MSapa
MSappa,MSapp
MSappp,MSapp
MSpaaa,MSpaa
MSpaap,MSpaa
MSpapa,MSpap
MSpapp,MSpap
MSppaa,MSppa
MSppap,MSppa
MSpppa,MSppp
MSpppp,MSppp
Dapppa,Dappp
Dapppp,Dappp
Dppppa,Dpppp
Dppppp,Dpppp
Earaad,Earaa
Earaav,Earaa
Eplppa,Eplpp
Eplppp,Eplpp
Eprppa,Eprpp
Eprppp,Eprpp
Daaaaa,Daaaa
Daaaap,Daaaa
Ealppa,Ealpp
Ealppp,Ealpp
Earpaa,Earpa
Earpap,Earpa
Eplpaa,Eplpa
Eplpap,Eplpa
Epraaa,Epraa
Epraap,Epraa
Dpaaaa,Dpaaa
Dpaaap,Dpaaa
Dpaapa,Dpaap
Dpaapp,Dpaap
Dppapa,Dppap
Dppapp,Dppap
Ealapa,Ealap
Ealapp,Ealap
Earppa,Earpp
Earppp,Earpp
Eprpaa,Eprpa
Eprpap,Eprpa
Daapaa,Daapa
Daapap,Daapa
Dpappa,Dpapp
Dpappp,Dpapp
Eplaaa,Eplaa
Eplaap,Eplaa
Eplapa,Eplap
Eplapp,Eplap
Eprapa,Eprap
Eprapp,Eprap
Dpapaa,Dpapa
Dpapap,Dpapa
Ealpaa,Ealpa
Ealpap,Ealpa
Earapa,Earap
Earapp,Earap
Dapaaa,Dapaa
Dapaap,Dapaa
Daappa,Daapp
Daappp,Daapp
Dppaaa,Dppaa
Dppaap,Dppaa
Daaapa,Daaap
Daaapp,Daaap
Dapapa,Dapap
Dapapp,Dapap
ABalaaa,ABalaa
ABalaap,ABalaa
ABalapa,ABalap
ABalapp,ABalap
ABalpaa,ABalpa
ABalpap,ABalpa
ABalppa,ABalpp
ABalppp,ABalpp
ABaraaa,ABaraa
ABaraap,ABaraa
ABarapa,ABarap
ABarapp,ABarap
ABarpaa,ABarpa
ABarpap,ABarpa
ABarppa,ABarpp
ABarppp,ABarpp
ABplaaa,ABplaa
ABplaap,ABplaa
ABplapa,ABplap
ABplapp,ABplap
ABplpaa,ABplpa
ABplpap,ABplpa
ABplppa,ABplpp
ABplppp,ABplpp
ABpraaa,ABpraa
ABpraap,ABpraa
ABprapa,ABprap
ABprapp,ABprap
ABprpaa,ABprpa
ABprpap,ABprpa
ABprppa,ABprpp
ABprppp,ABprpp
Capaaaa,Capaaa
Capaaap,Capaaa
Capaapa,Capaap
Capaapp,Capaap
Capapaa,Capapa
Capapap,Capapa
Capappa,Capapp
Capappp,Capapp
Cappaaa,Cappaa
Cappaap,Cappaa
Cappapa,Cappap
Cappapp,Cappap
Capppaa,Capppa
Capppap,Capppa
Cappppd,Capppp
Cappppv,Capppp
Cppaaaa,Cppaaa
Cppaaap,Cppaaa
Cppaapa,Cppaap
Cppaapp,Cppaap
Cppapaa,Cppapa
Cppapap,Cppapa
Cppappa,Cppapp
Cppappp,Cppapp
Cpppaaa,Cpppaa
Cpppaap,Cpppaa
Cpppapa,Cpppap
Cpppapp,Cpppap
Cppppaa,Cppppa
Cppppap,Cppppa
Cpppppd,Cppppp
Cpppppv,Cppppp
MSaaaaa,MSaaaa
MSaaaap,MSaaaa
MSaaapa,MSaaap
MSaaapp,MSaaap
MSaapaa,MSaapa
MSaapap,MSaapa
MSaappa,MSaapp
MSaappp,MSaapp
MSapaaa,MSapaa
MSapaap,MSapaa
MSapapa,MSapap
MSapapp,MSapap
MSappaa,MSappa
MSappap,MSappa
MSapppa,MSappp
MSapppp,MSappp
MSpaaaa,MSpaaa
MSpaaap,MSpaaa
MSpaapa,MSpaap
MSpaapp,MSpaap
MSpapaa,MSpapa
MSpapap,MSpapa
MSpappa,MSpapp
MSpappp,MSpapp
MSppaaa,MSppaa
MSppaap,MSppaa
MSppapa,MSppap
MSppapp,MSppap
MSpppaa,MSpppa
MSpppap,MSpppa
MSppppa,MSpppp
MSppppp,MSpppp
Caapapa,Caapap
Caapapp,Caapap
Ealppaa,Ealppa
Ealppap,Ealppa
Caaaapa,Caaaap
Caaaapp,Caaaap
Caappda,Caappd
Caappdp,Caappd
Cpappva,Cpappv
Cpappvp,Cpappv
Dpaaapa,Dpaaap
Dpaaapp,Dpaaap
Dpaapaa,Dpaapa
Dpaapap,Dpaapa
Caaaaaa,Caaaaa
Caaaaap,Caaaaa
Caaappa,Caaapp
Caaappp,Caaapp
Cpaaaaa,Cpaaaa
Cpaaaap,Cpaaaa
Cpaaapa,Cpaaap
Cpaaapp,Cpaaap
Cpaapaa,Cpaapa
Cpaapap,Cpaapa
Cpapaaa,Cpapaa
Cpapaap,Cpapaa
