,0
AB,1.0
ABa,2.0
ABal,3.0
ABala,4.0
ABalaa,5.0
ABalaaa,6.0
ABalaaaa,7.0
ABalaaaal,8.0
ABalaaaala,9.0
ABalaaaalal,10.0
ABalaaaalar,11.0
ABalaaaalp,12.0
ABalaaaalpa,13.0
ABalaaaalpp,14.0
ABalaaaar,15.0
ABalaaaarl,16.0
ABalaaaarla,17.0
ABalaaaarlp,18.0
ABalaaaarr,19.0
ABalaaaarra,20.0
ABalaaaarrp,21.0
ABalaaap,22.0
ABalaaapa,23.0
ABalaaapal,24.0
ABalaaapall,25.0
ABalaaapalr,26.0
ABalaaapar,27.0
ABalaaaparl,28.0
ABalaaaparr,29.0
ABalaaapp,30.0
ABalaaappl,31.0
ABalaaappll,32.0
ABalaaapplr,33.0
ABalaaappr,34.0
ABalaaapprl,35.0
ABalaaapprr,36.0
ABalaap,37.0
ABalaapa,38.0
ABalaapaa,39.0
ABalaapaaa,40.0
ABalaapaaal,41.0
ABalaapaaar,42.0
ABalaapaap,43.0
ABalaapaapa,44.0
ABalaapaapp,45.0
ABalaapap,46.0
ABalaapapa,47.0
ABalaapapp,48.0
ABalaapappa,49.0
ABalaapappp,50.0
ABalaapp,51.0
ABalaappa,52.0
ABalaappaa,53.0
ABalaappap,54.0
ABalaappapa,55.0
ABalaappapp,56.0
ABalaappp,57.0
ABalaapppa,58.0
ABalaapppaa,59.0
ABalaapppap,60.0
ABalaapppp,61.0
ABalaappppa,62.0
ABalaappppp,63.0
ABalap,64.0
ABalapa,65.0
ABalapaa,66.0
ABalapaaa,67.0
ABalapaaaa,68.0
ABalapaaaaa,69.0
ABalapaaaap,70.0
ABalapaaap,71.0
ABalapaaapa,72.0
ABalapaaapp,73.0
ABalapaap,74.0
ABalapaapa,75.0
ABalapaapaa,76.0
ABalapaapap,77.0
ABalapaapp,78.0
ABalapaappa,79.0
ABalapaappp,80.0
ABalapap,81.0
ABalapapa,82.0
ABalapapaa,83.0
ABalapapap,84.0
ABalapapapa,85.0
ABalapapapp,86.0
ABalapapp,87.0
ABalapappa,88.0
ABalapappaa,89.0
ABalapappap,90.0
ABalapappp,91.0
ABalapapppa,92.0
ABalapapppp,93.0
ABalapp,94.0
ABalappa,95.0
ABalappaa,96.0
ABalappaaa,97.0
ABalappaap,98.0
ABalappaapa,99.0
ABalappaapp,100.0
ABalappap,101.0
ABalappapa,102.0
ABalappapaa,103.0
ABalappapap,104.0
ABalappapp,105.0
ABalappappa,106.0
ABalappappp,107.0
ABalappp,108.0
ABalapppa,109.0
ABalapppaa,110.0
ABalapppaaa,111.0
ABalapppaap,112.0
ABalapppap,113.0
ABalapppapa,114.0
ABalapppapp,115.0
ABalapppp,116.0
ABalappppa,117.0
ABalappppaa,118.0
ABalappppap,119.0
ABalappppp,120.0
ABalapppppa,121.0
ABalapppppp,122.0
ABalp,123.0
ABalpa,124.0
ABalpaa,125.0
ABalpaaa,126.0
ABalpaaaa,127.0
ABalpaaaaa,128.0
ABalpaaaaaa,129.0
ABalpaaaaap,130.0
ABalpaaaap,131.0
ABalpaaaapa,132.0
ABalpaaaapp,133.0
ABalpaaap,134.0
ABalpaaapa,135.0
ABalpaaapaa,136.0
ABalpaaapap,137.0
ABalpaaapp,138.0
ABalpaaappa,139.0
ABalpaaappp,140.0
ABalpaap,141.0
ABalpaapa,142.0
ABalpaapaa,143.0
ABalpaapaaa,144.0
ABalpaapaap,145.0
ABalpaapap,146.0
ABalpaapapa,147.0
ABalpaapapp,148.0
ABalpaapp,149.0
ABalpaappa,150.0
ABalpaappaa,151.0
ABalpaappap,152.0
ABalpaappp,153.0
ABalpaapppa,154.0
ABalpaapppp,155.0
ABalpap,156.0
ABalpapa,157.0
ABalpapaa,158.0
ABalpapaaa,159.0
ABalpapaaaa,160.0
ABalpapaaap,161.0
ABalpapaap,162.0
ABalpapaapa,163.0
ABalpapaapp,164.0
ABalpapap,165.0
ABalpapapa,166.0
ABalpapapaa,167.0
ABalpapapap,168.0
ABalpapapp,169.0
ABalpapappa,170.0
ABalpapappp,171.0
ABalpapp,172.0
ABalpappa,173.0
ABalpappaa,174.0
ABalpappaaa,175.0
ABalpappaap,176.0
ABalpappap,177.0
ABalpappapa,178.0
ABalpappapp,179.0
ABalpappp,180.0
ABalpapppa,181.0
ABalpapppaa,182.0
ABalpapppap,183.0
ABalpapppp,184.0
ABalpappppa,185.0
ABalpappppp,186.0
ABalpp,187.0
ABalppa,188.0
ABalppaa,189.0
ABalppaaa,190.0
ABalppaaaa,191.0
ABalppaaap,192.0
ABalppaaapa,193.0
